A,B,seed,alpha,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.88,0.4097848815917969,0.886,0.6202148742675782,0.789
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.9,0.3818377685546875,0.895,0.5987731018066407,0.798
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.92,0.3581756286621094,0.9,0.5797579345703125,0.803
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.9400000000000001,0.3377195129394531,0.905,0.5646221618652344,0.807
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.96,0.3216524658203125,0.907,0.552598892211914,0.813
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.98,0.3100105285644531,0.911,0.5439018096923828,0.819
resolution_max_b1,resolution_max_b1_gaussian_conv,3,1.0,0.3031758270263672,0.91,0.53676806640625,0.822
plain,resolution_max_b1_gaussian_conv,1,0.0,0.19905135345458985,0.949,0.7145313110351562,0.772
plain,resolution_max_b1_gaussian_conv,1,0.02,0.2096890106201172,0.946,0.7195404357910157,0.77
plain,resolution_max_b1_gaussian_conv,1,0.04,0.23046682739257812,0.938,0.7288174438476562,0.766
plain,resolution_max_b1_gaussian_conv,1,0.06,0.26045156860351565,0.922,0.7444611511230469,0.767
plain,resolution_max_b1_gaussian_conv,1,0.08,0.2991950988769531,0.895,0.764740966796875,0.764
plain,resolution_max_b1_gaussian_conv,1,0.1,0.3468971405029297,0.879,0.788505859375,0.753
plain,resolution_max_b1_gaussian_conv,1,0.12,0.40245283508300783,0.854,0.8195235595703125,0.744
plain,resolution_max_b1_gaussian_conv,1,0.14,0.4645822448730469,0.839,0.8567018432617187,0.724
plain,resolution_max_b1_gaussian_conv,1,0.16,0.5322159729003906,0.813,0.8993179321289062,0.71
plain,resolution_max_b1_gaussian_conv,1,0.18,0.6043211975097657,0.782,0.94512890625,0.704
plain,resolution_max_b1_gaussian_conv,1,0.2,0.6807193603515626,0.755,0.9949539184570313,0.685
plain,resolution_max_b1_gaussian_conv,1,0.22,0.7592767028808594,0.736,1.050281005859375,0.666
plain,resolution_max_b1_gaussian_conv,1,0.24,0.837175537109375,0.71,1.1081151733398438,0.647
plain,resolution_max_b1_gaussian_conv,1,0.26,0.9161268310546875,0.683,1.1662417602539064,0.628
plain,resolution_max_b1_gaussian_conv,1,0.28,0.99702783203125,0.658,1.2250781860351563,0.606
plain,resolution_max_b1_gaussian_conv,1,0.3,1.0773690185546876,0.633,1.2825885620117188,0.587
plain,resolution_max_b1_gaussian_conv,1,0.32,1.1549097900390626,0.616,1.3359205322265626,0.572
plain,resolution_max_b1_gaussian_conv,1,0.34,1.2296315307617187,0.592,1.3833312377929687,0.566
plain,resolution_max_b1_gaussian_conv,1,0.36,1.299032470703125,0.576,1.4280208129882812,0.552
plain,resolution_max_b1_gaussian_conv,1,0.38,1.36071875,0.546,1.4695343627929687,0.534
plain,resolution_max_b1_gaussian_conv,1,0.4,1.4134218139648438,0.53,1.5024693603515624,0.521
plain,resolution_max_b1_gaussian_conv,1,0.42,1.4575784301757813,0.516,1.5278582763671875,0.514
plain,resolution_max_b1_gaussian_conv,1,0.44,1.489947509765625,0.505,1.54417431640625,0.506
plain,resolution_max_b1_gaussian_conv,1,0.46,1.5090804443359376,0.496,1.5503707275390626,0.509
plain,resolution_max_b1_gaussian_conv,1,0.48,1.5170205078125,0.499,1.54647216796875,0.509
plain,resolution_max_b1_gaussian_conv,1,0.5,1.514640380859375,0.501,1.5346771240234376,0.499
plain,resolution_max_b1_gaussian_conv,1,0.52,1.5011060791015625,0.501,1.5149241333007812,0.514
plain,resolution_max_b1_gaussian_conv,1,0.54,1.4756600952148438,0.504,1.4855588989257813,0.517
plain,resolution_max_b1_gaussian_conv,1,0.56,1.4402000122070313,0.514,1.4475762939453125,0.525
plain,resolution_max_b1_gaussian_conv,1,0.58,1.395156982421875,0.522,1.401771240234375,0.549
plain,resolution_max_b1_gaussian_conv,1,0.6,1.34149169921875,0.548,1.349106201171875,0.57
plain,resolution_max_b1_gaussian_conv,1,0.62,1.2836187133789063,0.571,1.2913603515625,0.587
plain,resolution_max_b1_gaussian_conv,1,0.64,1.2211456298828125,0.586,1.2294061889648438,0.6
plain,resolution_max_b1_gaussian_conv,1,0.66,1.154044921875,0.613,1.1664219970703125,0.622
plain,resolution_max_b1_gaussian_conv,1,0.68,1.0845809326171876,0.633,1.10289404296875,0.632
plain,resolution_max_b1_gaussian_conv,1,0.7000000000000001,1.0122503051757812,0.655,1.0406285400390625,0.653
plain,resolution_max_b1_gaussian_conv,1,0.72,0.9381708984375,0.69,0.9801270141601562,0.67
plain,resolution_max_b1_gaussian_conv,1,0.74,0.8643941345214844,0.715,0.9224188537597656,0.695
plain,resolution_max_b1_gaussian_conv,1,0.76,0.7919567565917969,0.735,0.8681474914550781,0.718
plain,resolution_max_b1_gaussian_conv,1,0.78,0.7233345336914062,0.761,0.8174341430664063,0.729
plain,resolution_max_b1_gaussian_conv,1,0.8,0.6585111083984375,0.774,0.7710836181640625,0.742
plain,resolution_max_b1_gaussian_conv,1,0.8200000000000001,0.5976035766601563,0.797,0.7294457092285156,0.751
plain,resolution_max_b1_gaussian_conv,1,0.84,0.5409762268066406,0.825,0.6926262817382812,0.764
plain,resolution_max_b1_gaussian_conv,1,0.86,0.48960797119140625,0.84,0.6606463012695313,0.771
plain,resolution_max_b1_gaussian_conv,1,0.88,0.4444225769042969,0.852,0.6328036499023437,0.779
plain,resolution_max_b1_gaussian_conv,1,0.9,0.4053539428710938,0.863,0.6090418090820312,0.787
plain,resolution_max_b1_gaussian_conv,1,0.92,0.3720702209472656,0.876,0.588897216796875,0.791
plain,resolution_max_b1_gaussian_conv,1,0.9400000000000001,0.3445852203369141,0.884,0.5728583374023437,0.793
plain,resolution_max_b1_gaussian_conv,1,0.96,0.3224551849365234,0.893,0.5614226684570313,0.802
plain,resolution_max_b1_gaussian_conv,1,0.98,0.30592405700683595,0.903,0.5548653564453125,0.808
