cell,radius,energy_fraction
resolution_max_b1__wd_high__seed0,12,0.0754206632213402
resolution_max_b1__wd_high__seed0,13,0.10886441115940027
resolution_max_b1__wd_high__seed0,14,0.12209127238644084
resolution_max_b1__wd_high__seed0,15,0.12617812209717957
resolution_max_b1__wd_high__seed0,16,0.12446985472817255
resolution_max_b1__wd_high__seed0,17,0.06186916086148989
resolution_max_b1__wd_high__seed0,18,0.0268035395238672
resolution_max_b1__wd_high__seed0,19,0.013325651476087563
resolution_max_b1__wd_high__seed0,20,0.00419185517607052
resolution_max_b1__wd_high__seed0,21,0.003923772217191833
resolution_max_b1__wd_high__seed0,22,0.0007096056945981546
resolution_max_b1__wd_high__seed0,23,0.00022219899878762992
resolution_max_b1_gaussian_conv__reference__seed0,0,0.0005621766417951223
resolution_max_b1_gaussian_conv__reference__seed0,1,0.003835646283124523
resolution_max_b1_gaussian_conv__reference__seed0,2,0.006398277825706968
resolution_max_b1_gaussian_conv__reference__seed0,3,0.010125466848114974
resolution_max_b1_gaussian_conv__reference__seed0,4,0.02374708387665651
resolution_max_b1_gaussian_conv__reference__seed0,5,0.02458071844943284
resolution_max_b1_gaussian_conv__reference__seed0,6,0.039930814523508176
resolution_max_b1_gaussian_conv__reference__seed0,7,0.044244579979245725
resolution_max_b1_gaussian_conv__reference__seed0,8,0.05728312861863158
resolution_max_b1_gaussian_conv__reference__seed0,9,0.08449172893526072
resolution_max_b1_gaussian_conv__reference__seed0,10,0.07142230327282414
resolution_max_b1_gaussian_conv__reference__seed0,11,0.09462039616465442
resolution_max_b1_gaussian_conv__reference__seed0,12,0.08714056588719028
resolution_max_b1_gaussian_conv__reference__seed0,13,0.10616668392015816
resolution_max_b1_gaussian_conv__reference__seed0,14,0.09971195072592368
resolution_max_b1_gaussian_conv__reference__seed0,15,0.09304452085386704
resolution_max_b1_gaussian_conv__reference__seed0,16,0.08405508481267979
resolution_max_b1_gaussian_conv__reference__seed0,17,0.037731267460984305
resolution_max_b1_gaussian_conv__reference__seed0,18,0.015281172815140501
resolution_max_b1_gaussian_conv__reference__seed0,19,0.008274365231041863
resolution_max_b1_gaussian_conv__reference__seed0,20,0.00297617007630758
resolution_max_b1_gaussian_conv__reference__seed0,21,0.003280339629586602
resolution_max_b1_gaussian_conv__reference__seed0,22,0.0007718527764016122
resolution_max_b1_gaussian_conv__reference__seed0,23,0.0003237043917629002
resolution_max_b1_gaussian_conv__wd_low__seed0,0,0.0006234931553863374
resolution_max_b1_gaussian_conv__wd_low__seed0,1,0.004253714096364218
resolution_max_b1_gaussian_conv__wd_low__seed0,2,0.006829353167707714
resolution_max_b1_gaussian_conv__wd_low__seed0,3,0.010389382544263701
