method,seed,policy,split,amplitude,n_directions,S_mean,S_direction_sd,S_min,S_max
plain,2,recalibrated,test_probe,0.05,20,0.028520932006835982,0.008980897505290148,0.010284118652343799,0.045548141479492266
plain,2,recalibrated,test_probe,0.1,20,0.11107870788574226,0.023122251900951334,0.06076396179199217,0.16104589843750006
plain,2,recalibrated,test_probe,0.2,20,0.4733646980285645,0.07238439687637002,0.36538185119628896,0.635461181640625
plain,2,recalibrated,test_probe,0.25,20,0.7576317810058593,0.10661145948158375,0.6030960693359375,0.9759825134277345
plain,2,recalibrated,train_probe,0.025,20,0.015356618690490714,0.002108775482098145,0.011761951446533192,0.019195777893066396
plain,2,recalibrated,train_probe,0.05,20,0.05654705276489258,0.007504654691914904,0.04655546569824218,0.06973815917968745
plain,2,recalibrated,train_probe,0.1,20,0.20448145294189451,0.023825773225933794,0.17069072723388673,0.24412340545654293
plain,2,recalibrated,train_probe,0.2,20,0.709022646331787,0.07793999030299129,0.601904541015625,0.8308837280273438
plain,2,recalibrated,train_probe,0.25,20,1.0452871444702148,0.10794919477385297,0.9028978576660156,1.2088187255859375
plain,2,saved,test_probe,0.025,20,0.035677141571044894,0.011233904401701003,0.014668395996093708,0.06515869140624997
plain,2,saved,test_probe,0.05,20,0.14709371948242184,0.04922570057548422,0.060910598754882805,0.2778146057128906
plain,2,saved,test_probe,0.1,20,0.661398250579834,0.24080576744621493,0.2632476043701172,1.238104431152344
plain,2,saved,test_probe,0.2,20,3.1633876342773433,1.046436154992941,1.4821871337890626,5.4378511962890625
plain,2,saved,test_probe,0.25,20,4.957202487182617,1.4865794094200655,2.754542175292969,8.177671630859376
