method,epoch,update,joint_change,state_label,state,seed,split,centre_ce_saved,centre_acc_saved,centre_ce_recalibrated,centre_acc_recalibrated,S_recalibrated_eps0.025,S_recalibrated_eps0.05,S_recalibrated_eps0.1,S_recalibrated_eps0.2,S_recalibrated_eps0.25,S_saved_eps0.1,S_saved_eps0.25
gaussian_postrelu,3,1173,False,final,G=0,3,test_probe,7.82342919921875,0.146,1.8212168579101562,0.337,0.0027620178222656834,0.01351985168457035,0.05448093566894534,0.1804369720458985,0.25133291625976567,0.7020946166992184,5.104813366699219
gaussian_postrelu,3,1173,False,final,G=0,4,train_probe,4.190852294921875,0.174,1.8597278442382812,0.285,0.0027984436035156657,0.010183508300781297,0.040570138549804693,0.14547568054199217,0.20579024047851574,0.4609112792968749,3.434697900390625
gaussian_postrelu,3,1173,False,final,G=0,4,test_probe,4.17599462890625,0.174,1.861397216796875,0.276,0.002153973388671804,0.009909930419921808,0.04199335021972646,0.15305876159667958,0.21715409851074213,0.4635340942382812,3.4077465759277343
gaussian_postrelu,6,2346,False,before,G=0.85,0,train_probe,0.8364768371582031,0.714,0.8181716613769531,0.714,0.007281602478027394,0.028841897583007835,0.12205363922119146,0.4644563385009766,0.6765136688232423,0.41915378723144536,2.7790879943847657
gaussian_postrelu,6,2346,False,before,G=0.85,0,test_probe,0.9002152709960938,0.679,0.8790442199707031,0.697,0.00619454803466799,0.027114440917968708,0.11679259033203127,0.44425498962402343,0.6449307373046874,0.41347808837890626,2.71241206665039
gaussian_postrelu,6,2346,False,before,G=0.85,1,train_probe,0.8099425964355469,0.715,0.7848114624023438,0.707,0.011178527832031248,0.045442048645019495,0.17515181274414063,0.5911634002685546,0.8420531158447264,0.5339542358398438,3.2912328552246093
gaussian_postrelu,6,2346,False,before,G=0.85,1,test_probe,0.8655186767578125,0.692,0.8373710327148437,0.699,0.010663845825195362,0.045305488586425836,0.17783616180419926,0.5832045623779296,0.8209050994873047,0.5315998031616213,3.2383842773437506
gaussian_postrelu,6,2346,False,before,G=0.85,2,train_probe,0.8175116577148438,0.698,0.7809363098144532,0.712,0.011055561828613225,0.04403790435791012,0.16990805053710928,0.558506021118164,0.7775435089111327,0.4549097381591796,2.9196623779296873
gaussian_postrelu,6,2346,False,before,G=0.85,2,test_probe,0.9300120239257812,0.682,0.8693694763183594,0.703,0.011414367675781245,0.04511095428466798,0.1694965606689453,0.5471386291503907,0.7554033233642579,0.43566069946289077,2.828814990234375
gaussian_postrelu,6,2346,False,before,G=0.85,3,train_probe,0.7691660766601562,0.721,0.7506325378417968,0.735,0.010762992858886733,0.0425530685424805,0.17087385559082033,0.5962034088134766,0.8472424072265625,0.452813119506836,2.81986328125
