method,seed,split,amplitude,S_centre_frozen,S_pointwise,S_saved,ratio_pointwise_over_centre_frozen,ratio_saved_over_centre_frozen,delta_vs_plain_centre_frozen,relchange_vs_plain_centre_frozen,delta_vs_plain_pointwise,relchange_vs_plain_pointwise,delta_vs_plain_saved,relchange_vs_plain_saved,delta_sign_differs_cf_vs_pw
plain,1,test_probe,0.35,10.23151332397461,1.50044114074707,10.267566931152343,0.1466489944582506,1.003523780504029,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,1,test_probe,0.5,21.22059967041016,2.4989121002197265,21.36378781127929,0.1177587881130518,1.006747601061849,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,1,train_probe,0.005,0.0018858129501342,0.0007067239761352,0.0018998756408691,0.3747582580154132,1.00745709734038,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,1,train_probe,0.01,0.0073600118637084,0.0026745706558227,0.0073974338531494,0.3633921663918483,1.0050845012391252,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,1,train_probe,0.02,0.0290395517349243,0.0101166545867919,0.0290708343505859,0.34837502586602076,1.0010772416856553,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,1,train_probe,0.025,0.0452797437667846,0.0155374246597289,0.0453029033660888,0.3431429457674301,1.0005114781440345,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,1,train_probe,0.05,0.1850654136657714,0.0579395332336425,0.1850503597259521,0.3130759664162935,0.9999186561144997,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,1,train_probe,0.1,0.8191649467468262,0.2106012920379638,0.8195357368469237,0.2570926562157364,1.000452644002371,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,1,train_probe,0.2,3.755091673278809,0.7504387809753417,3.7645762863159193,0.19984566190899034,1.0025258006627649,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,1,train_probe,0.25,5.844732109069825,1.1110167343139647,5.861373272705079,0.19008856412595793,1.0028472072500005,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,1,train_probe,0.35,10.752861964416503,1.9104695053100584,10.792948937988282,0.17767079235576597,1.0037280282872072,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,1,train_probe,0.5,21.85584492340088,2.970122746276856,22.002804919433597,0.13589603864258612,1.006724059241259,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,2,test_probe,0.005,0.0014172500610351,0.0002607536315918,0.0013965332031249,0.18398562029438648,0.9853823552527708,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,2,test_probe,0.01,0.0055303764343262,0.0010169136047363,0.0056907913208007,0.18387782763293886,1.029006142417147,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,2,test_probe,0.02,0.0226228057861328,0.0042482887268066,0.0227175148010253,0.18778787949506653,1.004186439815991,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,2,test_probe,0.025,0.0356112289428711,0.0068675140380859,0.0356771415710448,0.19284686998876194,1.0018508945108138,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,2,test_probe,0.05,0.1466367462158203,0.0285209320068359,0.1470937194824218,0.19450057876256152,1.0031163625652806,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,2,test_probe,0.1,0.6569712463378907,0.1110787078857422,0.661398250579834,0.16907697027064814,1.006738505325188,0.0,0.0,0.0,0.0,0.0,0.0,False
