campaign,arm,seed,epoch,update,evaluated_state,state_note,per_site_sigma_max,train_acc,train_ce,test_acc,test_ce,bn
adamw_long_noaug_160,cbs_budget_matched,2,40,15640,"{""label"": ""update 15639"", ""resolution"": null, ""sigma"": 0.4782969000000001}",scheduled state of the last update of epoch 39,0.4782969000000001,0.96754,0.0935763969039917,0.8054,0.7752470092773438,P1
adamw_long_noaug_160,cbs_budget_matched,2,80,31280,"{""label"": ""update 31279"", ""resolution"": null, ""sigma"": 0.20589113209464907}",scheduled state of the last update of epoch 79,0.20589113209464907,0.99864,0.005632275123596191,0.8237,1.0542599395751953,P1
adamw_long_noaug_160,cbs_budget_matched,2,120,46920,"{""label"": ""update 46919"", ""resolution"": null, ""sigma"": 0.0}",scheduled state of the last update of epoch 119,0.0,0.99996,0.00038270330296829344,0.8314,1.2488291564941407,P1
adamw_long_noaug_160,cbs_budget_matched,2,160,62560,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",native inference state (endpoint P1 reused),0.0,0.99996,0.00011580625916831196,0.8368,1.2736704071044922,P1
adamw_long_noaug_160,cbs_published_schedule,0,40,15640,"{""label"": ""update 15639"", ""resolution"": null, ""sigma"": 0.4782969000000001}",scheduled state of the last update of epoch 39,0.4782969000000001,0.97428,0.08069180503845215,0.8041,0.7824025115966797,P1
adamw_long_noaug_160,cbs_published_schedule,0,80,31280,"{""label"": ""update 31279"", ""resolution"": null, ""sigma"": 0.20589113209464907}",scheduled state of the last update of epoch 79,0.20589113209464907,0.99654,0.01090992082118988,0.8159,1.155402816772461,P1
adamw_long_noaug_160,cbs_published_schedule,0,120,46920,"{""label"": ""update 46919"", ""resolution"": null, ""sigma"": 0.08862938119652507}",scheduled state of the last update of epoch 119,0.08862938119652507,0.99996,0.00032027996111661194,0.8257,1.308441357421875,P1
adamw_long_noaug_160,cbs_published_schedule,0,160,62560,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",native inference state (endpoint P1 reused),0.038152042447694615,0.99996,0.0001315054298657924,0.828,1.3688891845703124,P1
adamw_long_noaug_160,cbs_published_schedule,1,40,15640,"{""label"": ""update 15639"", ""resolution"": null, ""sigma"": 0.4782969000000001}",scheduled state of the last update of epoch 39,0.4782969000000001,0.97498,0.07503924900054931,0.8126,0.7626937622070312,P1
adamw_long_noaug_160,cbs_published_schedule,1,80,31280,"{""label"": ""update 31279"", ""resolution"": null, ""sigma"": 0.20589113209464907}",scheduled state of the last update of epoch 79,0.20589113209464907,0.99942,0.0032929948163032533,0.8264,1.0595647552490235,P1
